,fold1,fold2,fold3,fold4,fold5,mean_importance,std_across_folds,mean_across_folds,cv
entropy,0.0005579980746869,0.0003290610893645,0.0002874250193096,0.0047777197321002,0.0006864635113878,0.0013277334853698,0.0019355692407996188,0.0013277334853698,1.4577995223646292
past_tense_freq,0.0001719806024632,0.0005396222987011,0.0002138047900289,2.2932523412182974e-05,4.258488152729975e-05,0.0001981850192265,0.00020762641008190505,0.00019818501922653654,1.0476392761280129
adv_freq,0.0002417303213727,0.0001945472988726,4.746829967171774e-05,0.0,0.0002442582098991,0.0001456008259632,0.00011423606013486483,0.00014560082596322353,0.7845838742955967
named_entity_ratio,8.803344500439716e-05,0.0001451803025751,0.0001783831826916,0.0,0.000250463356242,0.0001324120573026,9.449192529889881e-05,0.00013241205730261946,0.7136202489698007
sent_len_min,7.395685084435017e-05,0.0001492007626703,7.803856530889721e-05,0.0,4.535407182549132e-05,6.931005012981902e-05,5.444740037378547e-05,6.931005012980775e-05,0.7855628479825556
question_freq,4.359238224906445e-05,0.0,8.905510366645146e-05,3.69493731791537e-05,5.9829286456966735e-05,4.588522911032727e-05,3.259077984237638e-05,4.588522911032727e-05,0.7102673447268733
